State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
Andaman and Nicobar Islands,380581,53.31,46.69,77.32,43.19,34.13,0.0,0.0,0.0,7.5,3.87,3.63,40.08,31.76,8.32,33.08,7.0,59.92,4.35,1.26,0.98,33.49,69.45,8.52,21.28,0.34,0.09,0.01,0.15,0.18,10.91,21.13,0.85,2.15,23.63,13.59,37.23,9.15,15.89,18.85,16.08,11.46,7.57,1.12,80.12,18.0,98.11,53.74,31.31,14.85,0.1,4.48,1.69,6.41,6.06,0.75,17.68,1.34,16.81,20.52,2.09,0.55,21.33,18.69,17.2,14.06,7.92,3.1,0.01,0.7,0.06,0.04,0.47,5.84,6.74,1.63,0.13,0.29,0.63,0.47,1.75,6.62,14.88,0.36,20.86,0.13,1.78,2.78,4.56,4.56,15.66,6.96,4.14,3.54,0.78,3.04,17.88,1.91,0.32,0.38,0.05,0.01,4.37,0.49,1.07,0.72,1.79,0.28,0.17,0.45,0.11,0.19,0.3,0.14,3.18
Andhra Pradesh,84580777,50.18,49.82,59.77,33.4,26.37,16.41,8.17,8.23,7.0,3.51,3.49,46.61,28.59,18.02,39.06,7.55,53.39,7.67,20.06,1.7,17.17,88.46,9.56,1.34,0.05,0.04,0.06,0.01,0.48,8.9,22.91,0.65,2.09,20.3,9.96,30.26,11.44,15.41,13.67,10.96,6.48,5.99,0.81,64.77,32.14,96.91,54.17,27.37,17.55,0.91,7.99,0.67,2.31,4.63,1.01,13.66,0.97,14.61,15.68,1.01,0.87,17.7,16.69,12.32,19.51,4.9,4.11,0.03,1.35,0.27,0.2,0.24,8.17,11.92,1.46,5.13,0.12,0.08,0.52,0.78,9.26,10.75,0.06,17.37,1.72,1.24,3.4,4.64,4.29,16.42,7.69,4.45,3.38,0.42,4.85,18.85,2.35,0.28,0.32,0.04,0.01,3.34,0.02,0.05,0.04,0.1,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.15
Arunachal Pradesh,1383727,51.59,48.41,55.36,31.79,23.57,0.0,0.0,0.0,68.79,33.85,34.94,42.47,25.31,17.16,34.6,7.87,57.53,21.88,2.61,0.6,17.37,29.04,1.95,30.26,0.24,11.77,0.06,26.2,0.48,5.52,12.42,0.37,1.54,19.55,7.62,27.17,11.79,14.69,12.82,9.03,6.55,4.36,0.44,59.67,31.91,91.58,65.38,24.42,10.09,0.11,3.68,1.5,4.16,2.65,0.55,7.52,0.69,7.78,9.13,1.06,0.62,18.02,8.05,11.72,12.91,4.28,2.56,0.01,3.55,0.9,0.13,1.9,10.86,6.58,0.82,2.47,1.08,1.12,0.6,2.97,7.06,7.76,0.17,12.39,0.46,1.11,1.56,2.67,2.24,8.51,3.14,3.12,6.25,1.48,4.08,13.63,1.88,0.28,0.35,0.05,0.02,3.05,0.06,0.19,0.11,0.3,0.04,0.03,0.07,0.01,0.01,0.02,0.01,0.47
Assam,31205576,51.08,48.92,61.46,33.87,27.59,7.15,3.67,3.48,12.45,6.27,6.18,38.36,27.37,10.99,27.84,10.52,61.64,13.02,5.91,1.57,17.85,61.47,34.22,3.74,0.07,0.18,0.08,0.09,0.16,3.87,7.56,0.32,1.9,24.32,4.76,29.08,12.0,20.15,20.48,8.72,5.61,3.26,0.5,70.72,30.42,101.13,61.02,25.69,13.23,0.06,11.23,0.77,4.5,2.07,0.44,8.87,0.53,5.61,9.77,0.46,2.21,15.94,8.52,13.24,17.94,1.4,3.53,0.07,7.08,0.36,0.17,1.72,11.88,6.78,3.51,12.12,0.26,0.69,0.4,2.3,5.45,11.18,0.94,2.13,1.89,0.63,1.59,2.23,3.04,11.54,4.54,3.96,5.49,1.15,3.77,15.13,2.24,0.39,0.47,0.07,0.02,2.57,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Bihar,104099452,52.14,47.86,50.44,30.36,20.07,15.91,8.27,7.65,1.28,0.66,0.63,33.36,24.23,9.13,20.52,12.84,66.64,6.91,17.62,1.36,7.47,82.69,16.87,0.12,0.02,0.02,0.02,0.01,0.24,1.47,2.98,0.16,1.28,19.9,2.59,22.49,20.69,16.16,9.88,7.27,4.42,3.21,0.35,61.98,44.61,106.6,64.29,22.05,13.27,0.39,8.87,0.31,4.69,1.47,0.41,9.39,0.17,2.64,10.1,0.3,1.34,14.82,6.81,4.2,17.61,0.38,4.76,0.22,0.46,0.08,0.04,0.42,11.38,13.79,0.67,16.3,0.01,0.03,0.25,0.3,6.9,9.12,0.02,0.8,0.54,0.39,1.72,2.11,1.92,8.0,2.82,3.25,6.13,1.97,2.18,12.93,2.73,0.75,1.08,0.23,0.1,1.46,0.02,0.04,0.02,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.09
Chandigarh,1055450,55.02,44.98,76.31,44.09,32.22,18.86,10.08,8.79,0.0,0.0,0.0,38.29,31.09,7.2,36.57,1.73,61.71,0.24,0.16,0.45,37.43,80.78,4.87,0.83,13.11,0.11,0.19,0.02,0.1,15.95,21.91,4.2,7.4,0.84,27.42,28.27,7.62,11.24,10.82,11.82,9.36,16.54,1.91,69.31,17.46,86.76,57.08,28.78,14.11,0.03,12.8,5.73,6.25,10.39,1.33,14.06,6.38,18.37,19.88,4.49,0.78,21.44,19.97,19.52,10.62,10.46,0.68,0.02,0.11,0.02,0.02,0.05,2.3,0.72,0.0,0.58,0.0,0.0,0.11,0.13,2.59,19.19,0.02,21.54,0.19,1.44,2.31,3.75,3.41,13.69,6.07,4.21,4.07,0.76,0.49,15.39,2.28,0.46,0.54,0.06,0.01,4.06,0.08,0.34,0.68,1.02,0.41,0.23,0.64,0.32,0.42,0.74,0.75,3.24
Chhattisgarh,25545198,50.24,49.76,60.21,34.48,25.73,12.82,6.43,6.39,30.62,15.16,15.46,47.68,27.93,19.75,32.26,15.42,52.32,15.68,19.93,0.73,11.34,93.25,2.02,1.92,0.27,0.28,0.24,1.94,0.09,2.46,16.57,0.27,1.02,20.22,6.4,26.62,15.22,15.89,13.39,7.26,6.12,4.2,0.59,62.66,35.1,97.77,59.62,25.47,14.82,0.09,13.42,0.49,2.42,3.44,0.34,5.98,0.57,6.89,6.76,0.44,0.86,20.87,4.43,5.41,19.86,1.44,1.18,0.02,0.76,0.04,0.02,0.41,17.58,16.28,2.32,14.45,0.15,0.2,0.11,0.51,12.0,4.18,0.05,4.55,1.58,1.22,2.8,4.02,2.99,11.71,4.44,4.28,5.35,0.92,5.83,15.9,2.68,0.5,0.62,0.09,0.03,2.82,0.02,0.04,0.03,0.08,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.12
Dadra and Nagar Haveli,343709,56.37,43.63,64.95,41.47,23.48,1.8,0.97,0.83,51.95,25.85,26.1,45.73,34.71,11.02,37.91,7.82,54.27,8.19,5.18,0.64,31.71,93.93,3.76,1.49,0.06,0.18,0.35,0.09,0.14,8.47,20.24,0.59,1.75,14.03,17.62,31.65,7.19,20.12,9.31,11.0,6.6,5.72,1.04,60.97,26.49,87.47,65.49,25.57,8.83,0.11,5.19,1.2,3.3,5.43,0.5,12.17,1.07,10.03,13.38,0.71,0.11,20.61,14.06,11.64,11.81,9.09,3.06,0.0,0.16,0.07,0.02,0.13,7.2,8.5,1.21,9.57,0.13,0.05,0.08,0.27,7.74,11.19,0.01,9.89,4.38,1.25,2.77,4.03,3.46,11.54,4.61,3.47,4.72,0.98,2.33,13.42,2.42,0.4,0.46,0.05,0.01,4.97,0.13,0.52,0.49,1.0,0.12,0.16,0.28,0.21,0.28,0.5,0.07,1.98
Daman and Diu,243247,61.79,38.21,77.45,51.24,26.21,2.52,1.3,1.22,6.32,3.19,3.12,49.86,44.17,5.69,47.87,1.99,50.14,0.95,0.32,0.28,48.3,90.5,7.92,1.16,0.07,0.09,0.12,0.03,0.1,13.16,24.59,0.69,2.3,8.14,28.83,36.97,4.45,14.7,16.01,14.82,7.62,4.54,1.08,63.22,12.9,76.12,62.93,27.46,9.47,0.15,7.56,1.46,5.21,7.81,1.03,18.86,1.5,15.14,21.45,1.57,0.14,23.28,20.48,19.42,9.5,14.56,2.94,0.03,0.24,0.02,0.01,0.09,4.34,2.6,0.06,5.84,0.0,0.0,0.12,0.14,5.49,18.97,0.0,18.67,4.49,1.75,3.81,5.56,4.77,14.52,5.86,3.89,3.89,0.84,0.36,13.74,1.4,0.35,0.44,0.08,0.02,9.24,0.73,2.99,5.88,8.87,3.52,2.01,5.53,2.78,3.67,6.45,6.49,28.07
Goa,1458545,50.68,49.32,79.91,42.22,37.69,1.74,0.87,0.88,10.23,5.0,5.23,39.58,28.76,10.81,32.64,6.94,60.42,2.15,1.83,1.01,34.58,66.08,8.33,25.1,0.1,0.08,0.08,0.02,0.21,16.1,21.44,2.82,6.89,14.02,25.51,39.53,4.86,11.97,18.42,18.02,10.44,9.89,1.79,75.39,12.9,88.29,47.68,31.22,20.96,0.14,5.45,5.44,6.89,12.6,2.67,11.9,4.92,17.95,19.72,5.15,0.34,21.33,19.82,17.64,17.45,3.85,1.82,0.01,0.97,0.26,0.05,0.72,2.31,3.63,1.57,0.08,0.27,0.07,0.28,0.7,3.42,17.64,0.08,18.9,0.06,1.16,2.49,3.66,4.1,14.04,5.99,3.95,3.55,0.89,1.06,15.06,2.22,0.47,0.57,0.09,0.02,4.29,0.01,0.05,0.06,0.11,0.02,0.02,0.04,0.02,0.03,0.05,0.04,0.26
